gid,year,bdist2,bdist3,capdist,gwno
49182,2014,103.34738,27.009771,2480.4949,155
49183,2014,95.919945,27.125784,2482.5054,155
49184,2014,98.20579,10.18223,2485.117,155
49185,2014,96.10929,7.8864446,2488.327,155
49186,2014,89.19969,0.38092846,2492.133,155
49898,2014,171.31738,27.422474,2422.8303,155
49899,2014,140.47392,13.281614,2422.4136,155
49900,2014,110.253265,12.135103,2422.622,155
49901,2014,81.35487,0.42218107,2423.4553,155
49902,2014,55.8722,2.8342803,2424.9128,155
49903,2014,40.706303,2.030373,2426.9934,155
49904,2014,45.395805,0.5473277,2429.6956,155
49905,2014,40.48178,1.7880292,2433.0166,155
49906,2014,39.56108,4.4508657,2436.9546,155
49907,2014,25.596752,6.0049934,2441.5056,155
49908,2014,25.373478,12.097372,2446.6667,155
50616,2014,232.34296,21.731403,2369.9856,155
50617,2014,200.29384,11.660495,2368.2617,155
50618,2014,168.27359,6.559494,2367.1836,155
50619,2014,136.12773,1.4046062,2366.7522,155
50620,2014,103.952354,1.3461145,2366.9678,155
50621,2014,71.76965,2.0681484,2367.8303,155
50622,2014,39.581264,10.772308,2369.339,155
50623,2014,7.388825,7.388825,2371.493,155
50624,2014,17.891994,7.457746,2360.6536,160
50625,2014,18.9331,14.753082,2348.7358,160
50626,2014,20.515444,15.78034,2337.3984,160
50627,2014,31.456738,21.573454,2326.65,160
50628,2014,49.054695,21.451279,2316.4993,160
50629,2014,65.21285,9.14267,2306.9548,160
50630,2014,89.88133,3.0786211,2298.0242,160
50631,2014,118.132034,4.738291,2289.7148,160
50632,2014,147.81346,1.5876026,2282.0344,160
50633,2014,178.24515,4.7461653,2274.9893,160
51078,2014,647.5922,5.2993402,2285.2283,900
51334,2014,266.39432,12.8221655,2320.0127,155
51335,2014,257.0749,13.534177,2316.8958,155
51336,2014,235.75987,2.7746782,2314.4436,155
51337,2014,203.21303,0.24553213,2312.6584,155
51338,2014,170.65497,8.747995,2311.542,155
51339,2014,138.08734,2.0484474,2311.0952,155
51340,2014,105.51178,1.3665645,2311.3186,155
51341,2014,72.92992,5.27198,2312.212,155
51342,2014,40.343388,8.473463,2313.7742,155
51343,2014,7.7538323,7.7538323,2316.0042,155
51344,2014,24.837116,24.837116,2309.2424,160
51345,2014,57.427826,35.40173,2296.9202,160
51346,2014,75.195625,15.503217,2285.1946,160
51347,2014,83.70268,1.6691394,2274.0752,160
51348,2014,95.12248,26.053808,2263.5715,160
51798,2014,614.42316,28.67039,2233.9827,900
52053,2014,231.16891,11.41916,2268.5938,155
52054,2014,215.02765,0.24341324,2264.68,155
52055,2014,203.2244,8.755453,2261.4514,155
52056,2014,196.54285,1.9325597,2258.9116,155
52057,2014,195.10863,3.3967867,2257.0625,155
52058,2014,173.02704,13.05876,2255.906,155
52059,2014,140.06679,2.7514539,2255.443,155
52060,2014,107.098564,5.144159,2255.6746,155
52061,2014,74.123985,11.424155,2256.5999,155
52062,2014,41.144688,26.879885,2258.2183,155
52063,2014,8.162303,8.162303,2260.528,155
52064,2014,24.821531,24.274607,2258.0278,160
52065,2014,57.80518,0.7328309,2245.2847,160
52066,2014,90.78701,23.898531,2233.1548,160
52772,2014,211.1127,4.4048543,2218.1826,155
52773,2014,187.0561,8.021221,2213.422,155
52774,2014,166.44255,2.7811007,2209.3672,155
52775,2014,150.69287,3.1505141,2206.022,155
52776,2014,141.44212,0.2770934,2203.3901,155
52777,2014,139.4624,0.18712519,2201.4739,155
52778,2014,139.37486,16.30432,2200.2754,155
52779,2014,139.35565,14.079026,2199.7957,155
52780,2014,108.53635,15.621953,2200.0354,155
52781,2014,75.17078,9.792874,2200.9944,155
52782,2014,41.800674,12.7921715,2202.6716,155
52783,2014,8.427679,8.427679,2205.0652,155
52784,2014,24.946583,4.4023576,2207.0232,160
53491,2014,204.98213,0.85735756,2168.8716,155
53492,2014,178.03717,18.01671,2163.2122,155
53493,2014,150.77875,4.9146833,2158.2786,155
53494,2014,123.94785,0.23071972,2154.0757,155
53495,2014,101.54065,0.7780419,2150.6082,155
53496,2014,87.04466,2.623763,2147.8794,155
53497,2014,83.82087,6.698904,2145.8928,155
53498,2014,83.73176,5.016377,2144.6501,155
53499,2014,83.71272,2.6644773,2144.1528,155
53500,2014,83.48175,2.656968,2144.4016,155
53501,2014,70.27081,1.3556674,2145.3958,155
53502,2014,42.53278,9.774325,2147.1348,155
53503,2014,8.773049,8.773049,2149.6162,155
53504,2014,24.988659,14.967185,2156.243,160
53979,2014,706.8443,19.744455,1339.6008,920
54210,2014,212.31073,24.145836,2120.7593,155
54211,2014,179.96468,3.4085193,2114.1472,155
54212,2014,148.15366,1.1065238,2108.2803,155
54213,2014,117.77908,3.028778,2103.1648,155
54214,2014,90.3044,3.909155,2098.8066,155
54215,2014,64.0709,5.7241387,2095.2104,155
54216,2014,36.60916,15.4154825,2092.3804,155
54217,2014,28.184057,28.184057,2090.3198,155
54218,2014,28.093369,28.093369,2089.0308,155
54219,2014,28.074514,28.074514,2088.515,155
54220,2014,28.152782,28.152782,2088.7727,155
54221,2014,18.814232,18.66379,2089.8042,155
54222,2014,4.7643747,11.382899,2135.8752,160
54223,2014,4.141283,4.141283,2120.4705,160
54224,2014,15.41386,11.413172,2105.7034,160
54699,2014,727.62396,21.794056,1287.5826,920
54930,2014,182.9594,11.510682,2066.331,155
54931,2014,156.52817,1.369092,2059.4746,155
54932,2014,130.7246,4.074657,2053.3896,155
54933,2014,97.06483,1.0534527,2048.0833,155
54934,2014,64.29422,4.4096255,2043.5616,155
54935,2014,31.902292,5.227608,2039.8302,155
54936,2014,4.6237507,4.6237507,2036.8934,155
54937,2014,18.559248,18.559248,2175.5623,160
54938,2014,27.540281,27.540281,2156.596,160
54939,2014,27.558958,27.558958,2138.2046,160
54940,2014,27.479927,27.479927,2120.404,160
54941,2014,31.920965,17.040405,2103.2097,160
54942,2014,43.777885,13.786341,2086.6377,160
54943,2014,53.15505,8.785037,2070.7031,160
55650,2014,156.23912,6.144776,2011.9712,155
55651,2014,124.19496,5.183547,2004.8578,155
55652,2014,94.09834,0.66094726,1998.5435,155
55653,2014,68.581116,1.1589897,1993.036,155
55654,2014,53.99889,22.918156,1988.3423,155
55655,2014,28.028908,28.028908,1984.4684,155
55656,2014,0.36642987,0.36642987,2149.7407,160
55657,2014,34.914516,34.914516,2129.5955,160
55658,2014,69.815445,69.815445,2110.0178,160
55659,2014,83.18767,83.18767,2091.025,160
55660,2014,83.10788,60.96269,2072.6333,160
55661,2014,84.80558,30.63053,2054.8596,160
55662,2014,96.87895,10.678209,2037.7212,160
55663,2014,104.86696,22.951193,2021.2345,160
56369,2014,171.77051,19.041397,1965.8872,155
56370,2014,139.75371,1.3661749,1957.6848,155
56371,2014,108.84237,2.2859914,1950.3009,155
56372,2014,74.130196,3.7199562,1943.7449,155
56373,2014,39.693623,2.1527321,1938.0255,155
56374,2014,5.3098063,5.3098063,1933.1504,155
56375,2014,11.071785,11.071785,1929.1261,155
56376,2014,5.0346594,5.0346594,2104.8716,160
56377,2014,36.624077,36.624077,2084.0854,160
56378,2014,70.93728,70.93728,2063.8752,160
56379,2014,105.8644,101.383415,2044.2584,160
56380,2014,138.73105,69.7155,2025.253,160
56381,2014,139.74155,41.523067,2006.8774,160
56382,2014,148.1332,7.3607926,1989.1494,160
56852,2014,618.7429,10.78186,1259.8774,920
56853,2014,644.2206,1.5260607,1239.0505,920
57090,2014,123.242584,0.4233066,1903.4779,155
57091,2014,87.880135,5.955988,1895.8086,155
57092,2014,52.9827,4.878361,1888.9977,155
57093,2014,19.786844,9.41774,1883.0547,155
57094,2014,5.1806526,5.1806526,2105.0815,160
57095,2014,38.572334,38.572334,2082.5234,160
57096,2014,41.430893,41.430893,2060.5112,160
57097,2014,59.168484,59.168484,2039.0629,160
57098,2014,86.63277,86.63277,2018.1974,160
57099,2014,118.45387,118.45387,1997.934,160
57100,2014,151.9173,89.22759,1978.2915,160
57101,2014,186.13829,57.199085,1959.2897,160
57102,2014,201.22423,26.828966,1940.9478,160
57103,2014,212.94661,3.2043388,1923.2855,160
57104,2014,221.56906,12.980302,1906.3223,160
57105,2014,234.17216,29.024124,1890.0776,160
57809,2014,158.26816,11.139645,1858.2057,155
57810,2014,122.66744,0.09258791,1849.3568,155
57811,2014,87.48208,10.4214325,1841.3865,155
57812,2014,53.145462,1.3238469,1834.3062,155
57813,2014,19.584898,0.6277722,1828.1266,155
57814,2014,14.826433,14.826433,2062.6462,160
57815,2014,50.376568,50.376568,2039.3948,160
57816,2014,80.94993,80.94993,2016.6927,160
57817,2014,105.868996,105.868996,1994.56,160
57818,2014,125.02871,125.02871,1973.0165,160
57819,2014,149.11502,128.84981,1952.0825,160
57820,2014,177.13687,94.17402,1931.7786,160
57821,2014,207.52608,60.973648,1912.1254,160
57822,2014,239.38165,33.51066,1893.1442,160
57823,2014,264.88882,22.86925,1874.8557,160
57824,2014,275.072,31.239834,1857.2814,160
57825,2014,285.9234,0.9823508,1840.4421,160
58318,2014,1448.0472,3.326664,988.5841,920
58529,2014,160.63908,7.8348227,1804.5286,155
58530,2014,125.30346,1.730179,1795.3292,155
58531,2014,90.423874,9.00676,1787.0403,155
58532,2014,55.8559,9.286415,1779.6749,155
58533,2014,21.831978,12.887115,1773.245,155
58534,2014,5.539125,5.539125,2020.8314,160
58535,2014,24.587648,24.587648,1996.8655,160
58536,2014,51.067474,51.067474,1973.4523,160
58537,2014,77.359505,77.359505,1950.6123,160
58538,2014,108.18941,108.18941,1928.3671,160
58539,2014,141.61305,141.61305,1906.7379,160
58540,2014,176.28706,123.514206,1885.747,160
